id;img;img_content_type;barnd;type;price
1;../fake-data/blob/hipster.png;image/png;Versatile bandwidth;Ohio value-added Wyoming;54441
2;../fake-data/blob/hipster.png;image/png;Zloty;1080p;61998
3;../fake-data/blob/hipster.png;image/png;Corners Internal;Moroccan Dirham;41178
4;../fake-data/blob/hipster.png;image/png;Unbranded Frozen Towels Ergonomic;SMS deposit;74913
5;../fake-data/blob/hipster.png;image/png;Concrete;Refined;48309
6;../fake-data/blob/hipster.png;image/png;Jewelery calculate Expressway;Usability;96941
7;../fake-data/blob/hipster.png;image/png;customized;1080p AGP;36241
8;../fake-data/blob/hipster.png;image/png;Way Handmade Metal Shirt;withdrawal European Monetary Unit (E.M.U.-6) hacking;77737
9;../fake-data/blob/hipster.png;image/png;Tactics PCI Architect;infomediaries deposit;34389
10;../fake-data/blob/hipster.png;image/png;Gloves;Networked Money Market Account;45997
