id;img;img_content_type;modelname;type;price
1;../fake-data/blob/hipster.png;image/png;Thailand;Unbranded client-driven;71699
2;../fake-data/blob/hipster.png;image/png;Generic Metal Cheese Turkish Lira;Meadows Money Market Account Configuration;77696
3;../fake-data/blob/hipster.png;image/png;generate IB Toys;Utah;26915
4;../fake-data/blob/hipster.png;image/png;deposit override Investment Account;e-business deposit;14906
5;../fake-data/blob/hipster.png;image/png;architecture Won;Berkshire;58440
6;../fake-data/blob/hipster.png;image/png;Canadian Dollar XSS;Games;93440
7;../fake-data/blob/hipster.png;image/png;solution;adapter Soft firewall;43193
8;../fake-data/blob/hipster.png;image/png;deposit Handmade;Centers distributed channels;59669
9;../fake-data/blob/hipster.png;image/png;Frozen neural;distributed leverage;74888
10;../fake-data/blob/hipster.png;image/png;1080p neural;azure Checking Account Vista;13186
