id;name;address;age
1;Avon Auto Loan Account Refined Wooden Pizza;Personal Loan Account exuding International;32461
2;Incredible Granite Pants SQL circuit;Corporate primary compressing;11098
3;Secured mobile;Associate reboot;18361
4;leverage flexibility;Program Home program;47906
5;Ergonomic Buckinghamshire calculating;Metical Streamlined;24461
6;Soft dot-com Algeria;Incredible;10445
7;Borders Data Interactions;Intuitive;97852
8;virtual Music;Mountain Buckinghamshire New Israeli Sheqel;33546
9;Tokelau Chips Extension;Rustic Cotton Mouse Handmade FTP;95064
10;Tasty reintermediate;input azure;89170
